timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1694125800,Sep 07 2023 - 10:30pm,complete,N/A,Paraguay,Peru,Andrés Matonte,1,0.00,0.00,1.50,0.75,0,0,0,0,0,0,"","",11,1,0,0,2,1,0,0,3,0,15,3,6,0,9,3,19,13,59,41,0.00,0.00,1.94,0.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.40,4.50,1.40,2.50,3.80,7.50,2.25,1.57,Estadio Antonio Aranda
1694127600,Sep 07 2023 - 11:00pm,complete,N/A,Colombia,Venezuela,Anderson Daronco,1,0.00,0.00,1.38,1.13,1,0,1,0,0,0,"46","",2,4,0,0,1,0,0,0,1,0,10,6,4,2,6,4,13,19,70,30,0.00,0.00,1.36,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.00,15.00,1.30,2.05,3.50,7.00,2.75,1.40,Estadio Metropolitano Roberto Meléndez
1694131200,Sep 08 2023 - 12:00am,complete,N/A,Argentina,Ecuador,Wilmar Alexander Roldán Pérez,1,0.00,0.00,2.19,1.75,1,0,1,0,0,0,"78","",4,2,1,0,1,0,0,1,0,1,9,5,4,3,5,2,9,13,71,29,0.00,0.00,1.41,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.50,11.00,1.42,2.08,3.96,7.63,2.50,1.50,Estadio Monumental Antonio Vespucio Liberti
1694214000,Sep 08 2023 - 11:00pm,complete,N/A,Uruguay,Chile,Darío Herrera,1,0.00,0.00,1.50,0.63,3,1,4,2,2,0,"38,45'2,71","74",3,3,4,0,5,0,0,4,1,4,16,5,7,2,9,3,17,16,50,50,0.00,0.00,1.81,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.25,5.75,1.41,2.25,4.22,9.50,2.10,1.67,Estadio Centenario
1694220300,Sep 09 2023 - 12:45am,complete,43188,Brazil,Bolivia,Juan Gabriel Benítez,1,0.00,0.00,1.56,1.06,5,1,6,1,1,0,"24,47,53,61,90'3","78",6,1,1,0,2,0,1,0,1,1,18,4,11,3,7,1,6,14,80,20,0.00,0.00,2.29,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,13.00,34.00,1.03,1.20,2.12,2.05,2.20,1.62,N/A
1694548800,Sep 12 2023 - 8:00pm,complete,N/A,Bolivia,Argentina,Esteban Ostojich,2,0.00,3.00,1.06,2.19,0,3,3,2,0,2,"","31,42,83",1,4,4,1,0,0,3,2,0,0,3,14,2,8,1,6,23,10,40,60,0.60,1.41,0.44,1.70,3.50,50,50,50,50,50,0,50,50,100,5.00,3.00,5.00,4.00,1.50,1.23,1.70,2.83,5.20,1.95,1.80,N/A
1694552400,Sep 12 2023 - 9:00pm,complete,N/A,Ecuador,Uruguay,Wilton Pereira Sampaio,2,0.00,3.00,1.75,1.50,2,1,3,2,1,1,"45'5,61","38",10,2,2,0,3,0,0,2,1,2,13,3,4,2,9,1,12,18,50,50,0.77,1.81,1.40,0.57,2.50,50,50,50,50,0,50,50,50,100,5.00,5.00,2.15,3.05,3.00,1.36,2.10,3.72,7.30,2.20,1.62,Estadio de Liga Deportiva Universitaria
1694556000,Sep 12 2023 - 10:00pm,complete,N/A,Venezuela,Paraguay,Andrés José Rojas Noguera,2,0.00,1.00,1.13,1.50,1,0,1,0,0,0,"90'3","",7,5,3,0,4,0,1,2,1,3,8,13,3,5,5,8,13,14,54,46,0.73,1.94,0.96,1.57,0.50,0,0,0,0,0,0,0,0,50,15.00,1.00,2.38,2.88,3.40,1.50,2.60,4.25,8.40,2.20,1.62,Estadio Monumental de Maturín
1694565000,Sep 13 2023 - 12:30am,complete,N/A,Chile,Colombia,Jesús Valenzuela Sáez,2,0.00,3.00,0.63,1.38,0,0,0,0,0,0,"","",6,3,1,0,5,0,1,0,1,4,8,6,5,2,3,4,13,19,51,49,0.67,1.36,1.11,0.82,2.50,50,50,50,50,0,50,50,50,100,5.00,5.00,3.30,3.00,2.38,1.44,2.40,4.50,9.50,2.00,1.75,Estadio Monumental David Arellano
1694570400,Sep 13 2023 - 2:00am,complete,N/A,Peru,Brazil,Fernando Rapallini,2,1.00,3.00,0.75,1.56,0,1,1,0,0,0,"","90",4,4,3,0,2,0,1,2,1,1,3,7,0,3,3,4,20,14,38,62,0.34,2.29,0.47,0.95,3.00,50,50,50,50,50,0,50,50,50,7.00,4.00,9.00,5.00,1.33,1.26,2.00,3.10,6.00,2.50,1.50,Estadio Nacional de Lima
